Category,Location,Date,Genus,Species,transect,Condition,value,Reference,Event
General,Uva,04/27/83,Pocillopora,Pocillopora spp.,Transect.1,Bleached,1,Glynn_1984,1982-83
General,Uva,04/27/83,Other scleractinians,Other,Transect.1,Bleached,NA,Glynn_1984,1982-83
General,Uva,04/27/83,Millepora,Millepora spp.,Transect.1,Bleached,NA,Glynn_1984,1982-83
General,Secas,03/22/83,Pocillopora,Pocillopora spp.,Transect.1,Bleached,1,Glynn_1984,1982-83
General,Secas,03/22/83,Other scleractinians,Other,Transect.1,Bleached,0.965174129353234,Glynn_1984,1982-83
General,Secas,03/22/83,Millepora,Millepora spp.,Transect.1,Bleached,NA,Glynn_1984,1982-83
General,Uva,04/27/83,Pocillopora,Pocillopora spp.,Transect.2,Bleached,1,Glynn_1984,1982-83
General,Uva,04/27/83,Other scleractinians,Other,Transect.2,Bleached,1,Glynn_1984,1982-83
General,Uva,04/27/83,Millepora,Millepora spp.,Transect.2,Bleached,NA,Glynn_1984,1982-83
General,Secas,03/22/83,Pocillopora,Pocillopora spp.,Transect.2,Bleached,0.171428571428571,Glynn_1984,1982-83
General,Secas,03/22/83,Other scleractinians,Other,Transect.2,Bleached,NA,Glynn_1984,1982-83
General,Secas,03/22/83,Millepora,Millepora spp.,Transect.2,Bleached,NA,Glynn_1984,1982-83
General,Uva,04/27/83,Pocillopora,Pocillopora spp.,Transect.3,Bleached,1,Glynn_1984,1982-83
General,Uva,04/27/83,Other scleractinians,Other,Transect.3,Bleached,1,Glynn_1984,1982-83
General,Uva,04/27/83,Millepora,Millepora spp.,Transect.3,Bleached,NA,Glynn_1984,1982-83
General,Secas,03/22/83,Pocillopora,Pocillopora spp.,Transect.3,Bleached,1,Glynn_1984,1982-83
General,Secas,03/22/83,Other scleractinians,Other,Transect.3,Bleached,NA,Glynn_1984,1982-83
General,Secas,03/22/83,Millepora,Millepora spp.,Transect.3,Bleached,NA,Glynn_1984,1982-83
General,Uva,04/27/83,Pocillopora,Pocillopora spp.,Transect.4,Bleached,NA,Glynn_1984,1982-83
General,Uva,04/27/83,Other scleractinians,Other,Transect.4,Bleached,NA,Glynn_1984,1982-83
General,Uva,04/27/83,Millepora,Millepora spp.,Transect.4,Bleached,NA,Glynn_1984,1982-83
General,Secas,03/22/83,Pocillopora,Pocillopora spp.,Transect.4,Bleached,0,Glynn_1984,1982-83
General,Secas,03/22/83,Other scleractinians,Other,Transect.4,Bleached,NA,Glynn_1984,1982-83
General,Secas,03/22/83,Millepora,Millepora spp.,Transect.4,Bleached,NA,Glynn_1984,1982-83
General,Uva,04/27/83,Pocillopora,Pocillopora spp.,Transect.5,Bleached,0.978835978835979,Glynn_1984,1982-83
General,Uva,04/27/83,Other scleractinians,Other,Transect.5,Bleached,0,Glynn_1984,1982-83
General,Uva,04/27/83,Millepora,Millepora spp.,Transect.5,Bleached,NA,Glynn_1984,1982-83
General,Secas,03/22/83,Pocillopora,Pocillopora spp.,Transect.5,Bleached,0.825581395348837,Glynn_1984,1982-83
General,Secas,03/22/83,Other scleractinians,Other,Transect.5,Bleached,NA,Glynn_1984,1982-83
General,Secas,03/22/83,Millepora,Millepora spp.,Transect.5,Bleached,NA,Glynn_1984,1982-83
General,Uva,04/27/83,Pocillopora,Pocillopora spp.,Transect.6,Bleached,0.691176470588235,Glynn_1984,1982-83
General,Uva,04/27/83,Other scleractinians,Other,Transect.6,Bleached,NA,Glynn_1984,1982-83
General,Uva,04/27/83,Millepora,Millepora spp.,Transect.6,Bleached,NA,Glynn_1984,1982-83
General,Secas,03/22/83,Pocillopora,Pocillopora spp.,Transect.6,Bleached,0,Glynn_1984,1982-83
General,Secas,03/22/83,Other scleractinians,Other,Transect.6,Bleached,0,Glynn_1984,1982-83
General,Secas,03/22/83,Millepora,Millepora spp.,Transect.6,Bleached,NA,Glynn_1984,1982-83
General,Uva,04/27/83,Pocillopora,Pocillopora spp.,Transect.7,Bleached,0.827956989247312,Glynn_1984,1982-83
General,Uva,04/27/83,Other scleractinians,Other,Transect.7,Bleached,1,Glynn_1984,1982-83
General,Uva,04/27/83,Millepora,Millepora spp.,Transect.7,Bleached,NA,Glynn_1984,1982-83
General,Secas,03/22/83,Pocillopora,Pocillopora spp.,Transect.7,Bleached,0.633333333333333,Glynn_1984,1982-83
General,Secas,03/22/83,Other scleractinians,Other,Transect.7,Bleached,0,Glynn_1984,1982-83
General,Secas,03/22/83,Millepora,Millepora spp.,Transect.7,Bleached,NA,Glynn_1984,1982-83
General,Uva,04/27/83,Pocillopora,Pocillopora spp.,Transect.8,Bleached,0,Glynn_1984,1982-83
General,Uva,04/27/83,Other scleractinians,Other,Transect.8,Bleached,NA,Glynn_1984,1982-83
General,Uva,04/27/83,Millepora,Millepora spp.,Transect.8,Bleached,NA,Glynn_1984,1982-83
General,Secas,03/22/83,Pocillopora,Pocillopora spp.,Transect.8,Bleached,0.732558139534884,Glynn_1984,1982-83
General,Secas,03/22/83,Other scleractinians,Other,Transect.8,Bleached,0,Glynn_1984,1982-83
General,Secas,03/22/83,Millepora,Millepora spp.,Transect.8,Bleached,NA,Glynn_1984,1982-83
General,Uva,04/27/83,Pocillopora,Pocillopora spp.,Transect.9,Bleached,NA,Glynn_1984,1982-83
General,Uva,04/27/83,Other scleractinians,Other,Transect.9,Bleached,NA,Glynn_1984,1982-83
General,Uva,04/27/83,Millepora,Millepora spp.,Transect.9,Bleached,NA,Glynn_1984,1982-83
General,Secas,03/22/83,Pocillopora,Pocillopora spp.,Transect.9,Bleached,0.329317269076305,Glynn_1984,1982-83
General,Secas,03/22/83,Other scleractinians,Other,Transect.9,Bleached,1,Glynn_1984,1982-83
General,Secas,03/22/83,Millepora,Millepora spp.,Transect.9,Bleached,NA,Glynn_1984,1982-83
General,Uva,04/27/83,Pocillopora,Pocillopora spp.,Transect.10,Bleached,NA,Glynn_1984,1982-83
General,Uva,04/27/83,Other scleractinians,Other,Transect.10,Bleached,NA,Glynn_1984,1982-83
General,Uva,04/27/83,Millepora,Millepora spp.,Transect.10,Bleached,NA,Glynn_1984,1982-83
General,Secas,03/22/83,Pocillopora,Pocillopora spp.,Transect.10,Bleached,0.871794871794872,Glynn_1984,1982-83
General,Secas,03/22/83,Other scleractinians,Other,Transect.10,Bleached,0.7,Glynn_1984,1982-83
General,Secas,03/22/83,Millepora,Millepora spp.,Transect.10,Bleached,NA,Glynn_1984,1982-83
Species,Uva,03/20/83,Millepora,Millepora intricata,NA,Bleached,NA,Glynn_1983,1982-83
Species,Uva,03/20/83,Millepora,Millepora platyphylla,NA,Bleached,NA,Glynn_1983,1982-83
Species,Uva,03/20/83,Pocillopora,Pocillopora damicornis,NA,Bleached,1,Glynn_1983,1982-83
Species,Uva,03/20/83,Pocillopora,Pocillopora elegans,NA,Bleached,0.883,Glynn_1983,1982-83
Species,Uva,03/20/83,Other scleractinians,Porites panamensis,NA,Bleached,0.997,Glynn_1983,1982-83
Species,Uva,03/20/83,Other scleractinians,Porites lobata,NA,Bleached,0.143,Glynn_1983,1982-83
Species,Uva,03/20/83,Other scleractinians,Pavona varians,NA,Bleached,0.972,Glynn_1983,1982-83
