Location,Coral Species,1-10 m %dead,1-10 m %bleached,1-10 m (n),# Bleached,# Dead,# Healthy,Affected,Total ,,Date,Island,Site,Location,Spp,% Bleach,% Pale,Old,Recent,BL 0,PA 0,Old 0,Recent 0,?,PWG Dead,PWG Bleach,Healthy,Affected
,,,,,,,,,,,8/22/2014,Uva,Uva-reef,Forereef,GAPL,,,10,,0,0,10,0,0,,,1,0
,,,,,,,,,,,8/22/2014,Uva,Uva-reef,Forereef,POLO,,,,,0,0,0,0,0,,,1,0
,,,,,,,,,,,8/22/2014,Uva,Uva-reef,Forereef,POLO,,80,10,,0,80,10,0,0,,,1,0
,,,,,,,,,,,8/22/2014,Uva,Uva-reef,Forereef,PODA,,,,,0,0,0,0,0,,,1,0
,,,,,,,,,,,8/22/2014,Uva,Uva-reef,Forereef,PODA,,,,,0,0,0,0,0,,,1,0
,,,,,,,,,,,8/22/2014,Uva,Uva-reef,Forereef,POEL,,,,,0,0,0,0,0,,,1,0
,,,,,,,,,,,8/22/2014,Uva,Uva-reef,Forereef,POEL,,,,,0,0,0,0,0,,,1,0
,,,,,,,,,,,8/22/2014,Uva,Uva-reef,Forereef,POEL,,,,,0,0,0,0,0,,,1,0
,,,,,,,,,,,8/22/2014,Uva,Uva-reef,Forereef,GAPL,,,,,0,0,0,0,0,,,1,0
,,,,,,,,,,,8/22/2014,Uva,Uva-reef,Forereef,GAPL,,,30,,0,0,30,0,0,,,1,0
,,,,,,,,,,,8/22/2014,Uva,Uva-reef,Forereef,GAPL,,,5,,0,0,5,0,0,,,1,0
,,,,,,,,,,,8/22/2014,Uva,Uva-reef,Forereef,GAPL,,,5,,0,0,5,0,0,,,1,0
,,,,,,,,,,,8/22/2014,Uva,Uva-reef,Forereef,GAPL,,,25,,0,0,25,0,0,,,1,0
,,,,,,,,,,,8/22/2014,Uva,Uva-reef,Forereef,PACL,,,5,,0,0,5,0,0,,,1,0
,,,,,,,,,,,8/22/2014,Uva,Uva-reef,Forereef,PACL,,20,,,0,20,0,0,0,,,1,0
,,,,,,,,,,,8/22/2014,Uva,Uva-reef,Forereef,PACL,,20,50,,0,20,50,0,0,1,,0,1
,,,,,,,,,,,8/22/2014,Uva,Uva-reef,Forereef,PACL,,,5,,0,0,5,0,0,,,1,0
,,,,,,,,,,,8/22/2014,Uva,Uva-reef,Forereef,PACL,,,5,,0,0,5,0,0,,,1,0
,,,,,,,,,,,8/22/2014,Uva,Uva-reef,Forereef,PAVA,,20,10,,0,20,10,0,0,,,1,0
,,,,,,,,,,,8/22/2014,Uva,Uva-reef,Forereef,PAVA,,,,,0,0,0,0,0,,,1,0
,,,,,,,,,,,8/22/2014,Uva,Uva-reef,Forereef,PAVA,,5,,,0,5,0,0,0,,,1,0
,,,,,,,,,,,8/22/2014,Uva,Uva-reef,Forereef,PAVA,,50,50,,0,50,50,0,0,1,,0,1
