"Year_F","emmean","SE","df","lower.CL","upper.CL",".group"
"2016",57.0097703644337,4.14354792979146,10,47.7773702369981,66.2421704918694," 1 "
"2015",57.4330534392506,4.14354792979146,10,48.200653311815,66.6654535666863," 1 "
"2018",70.1572479065799,4.14354792979146,10,60.9248477791442,79.3896480340155,"  2"
