Species,Genus,Sensitivity
Gardineroseris planulata,Gardineroseris,Other
Millepora intricata,Millepora,Millepora
Millepora platyphylla,Millepora,Millepora
Pavona clavus,Pavona,Other
Pavona gigantea,Pavona,Other
Pavona varians,Pavona,Other
Pavona chiriquiensis,Pavona,Other
Pocillopora damicornis,Pocillopora,Pocillopora
Pocillopora elegans,Pocillopora,Pocillopora
Porites lobata,Porites,Other
Porites panamensis,Porites,Other
Psammocora stellata,Psammocora,Other
Pocillopora,Pocillopora,Pocillopora
