Year,Month,Date,Location,Site,Z (m),Spp,Length,Width,Height,% Bleach,% Pale,Old,Recent,Bites,Pred,#Damsel,Damsel spp,Lithoph,Pink,%Algae,Alg spp,%FLCY,% Barnacles,% Worm,Eucidaris,# Snail,% Disease,Disease Type,Black Sponge,Sponge,COTS,Notes,BL 0,PA 0,Old 0,Recent 0,?,PWG Dead,PWG Bleach
2014,8,08/20/14,Secas,Dog-Reef,7.9,PACL,105,45,40,,15,25,2,15,,,,,,,,,,,,,,,,,,Not totally sure if this was ICA or transect,0,15,25,2,0,,
2014,8,08/22/14,Uva,Uva-reef,4.2,MIIN,32,32,9,20,20,,,,,,,,,,,,,,,,,,,,,,20,20,0,0,1,,1
2014,8,08/22/14,Uva,Uva-reef,4.2,PODA,42,35,25,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,
2014,8,08/22/14,Uva,Uva-reef,4.2,PODA,28,29,15,,,5,,,,,,,,,,,,,,,,,,,,,0,0,5,0,0,,
2014,8,08/22/14,Uva,Uva-reef,4.2,POEL,30,25,12,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,
2014,8,08/22/14,Uva,Uva-reef,4.2,PAVA,17,13,11,10,20,18,,,,,,,,,,,,,,,,,,,,Bleaching around old mortality on top,10,20,18,0,1,,
2014,8,08/22/14,Uva,Uva-reef,4.2,POLO,19,11,22,,,7,4,10,,,,5,,,,,,,,,,,,,,,0,0,7,4,0,,
2014,8,08/22/14,Uva,Uva-reef,4.2,PAGI,12,8,11,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,
2014,8,08/22/14,Uva,Uva-reef,4.2,PODA,21,20,10,,,,,,,,,,,,,,,,,,,,,,,coralith,0,0,0,0,0,,
2014,8,08/22/14,Uva,Uva-reef,4.2,PAVA,42,32,27,10,30,30,2,,,1,SACAP,,,,,,,,,,,,,,,Bleaching and mortality on top,10,30,30,2,1,,
2014,8,08/22/14,Uva,Uva-reef,4.2,PAGI,18,6,7,,,12,,,,,,,,,,,,,,,,,,,,,0,0,12,0,0,,
2014,8,08/22/14,Uva,Uva-reef,4.2,PAVA,55,50,23,,,25,,,,,,,,,,,,,,,,,,,,,0,0,25,0,0,,
2014,8,08/22/14,Uva,Uva-reef,2.4,PACL,13,7,9,,,35,,,,,,,,,,,,,,,,,,,,"Top mortality, from low tide?",0,0,35,0,0,,
2014,8,08/22/14,Uva,Uva-reef,2.4,PAGI,22,20,5,,,15,,,,,,,,,,,,,,,,,,,,,0,0,15,0,0,,
2014,8,08/22/14,Uva,Uva-reef,2.4,POLO,67,37,30,,,65,,,,1,SACAP,,,,,,,,,,,,,,,Mortality from SACAP,0,0,65,0,0,1,
2014,8,08/22/14,Uva,Uva-reef,2.4,PAGI,12,6,4,10,10,10,,4,,1,SACAP,,,,,,,,,,,,,,,Bleaching medial/focal,10,10,10,0,1,,
2014,8,08/22/14,Uva,Uva-reef,2.4,PAGI,26,22,18,,,30,,,,,,,,,,,,,,,,,,,,,0,0,30,0,0,,
2014,8,08/22/14,Uva,Uva-reef,2.4,PACL,10,6,5,,,25,,30,,,,,,,,,,,,,,,,,,,0,0,25,0,0,,
2014,8,08/22/14,Uva,Uva-reef,2.4,GAPL,23,17,27,,,30,,6,,1,SACAP,,,,,,,,,,,,,,,,0,0,30,0,0,,
2014,8,08/22/14,Uva,Uva-reef,2.4,GAPL,32,1,12,,,10,,,,,,,,,,,,,,,,,,,,,0,0,10,0,0,,
2014,8,08/22/14,Uva,Uva-reef,2.4,PACL,55,36,33,,,15,4,15,,,,,,,,,,,,,,,,,,Bites are parrot,0,0,15,4,0,,
2014,8,08/22/14,Uva,Uva-reef,2.4,PAVA,20,18,14,10,5,40,,,,,,,,,,,,,,,,,,,,Bleaching on top,10,5,40,0,1,,
2014,8,08/22/14,Uva,Uva-reef,2.4,PODA,28,20,14,,,5,,,,,,,,10,MACA,5,,,,,,,,,,,0,0,5,0,0,,
2014,8,08/22/14,Uva,Uva-reef,2.4,PAVA,24,18,9,5,,20,,,,,,,,,,,,,,,,,,,,Bleaching mostly on top,5,0,20,0,1,,
2014,8,08/22/14,Uva,Uva-reef,2.4,PACL,17,14,13,,5,5,,20,,,,,,,,,,,,,,,,,,Symbioinium tag #340,0,5,5,0,0,,
2014,8,08/22/14,Uva,Uva-reef,2.4,GAPL,36,23,21,,,8,10,25,,,,,,,,,,,,,,,,,,,0,0,8,10,0,,
2014,8,08/22/14,Uva,Uva-reef,2.4,GAPL,36,18,29,,,35,5,12,,1,SACAP,,,,,,,,,,,,,,,,0,0,35,5,0,,
2014,8,08/22/14,Uva,Uva-reef,2.4,POLO,20,12,11,,,7,2,20,,,,,,,,,,,,,,,,,,,0,0,7,2,0,,
2014,8,08/22/14,Uva,Uva-reef,2.4,POLO,15,9,6,,35,3,,,,,,,5,,,,,,,,,,,,,Blue morph,0,35,3,0,0,,
2014,8,08/22/14,Uva,Uva-reef,2.4,POLO,6,5,4,,,,6,6,,,,,,,,,,,,,,,,,,,0,0,0,6,0,,
2014,8,08/22/14,Uva,Uva-reef,2.4,MIIN,145,95,30,,30,,,,,,,,,,,,,,,,,,,,,Symbiodinium tag#255.  Not counting portion encrusting rebar,0,30,0,0,0,,
2014,8,08/22/14,Uva,Uva-reef,2.4,MIIN,50,30,18,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,
2014,8,08/22/14,Uva,Uva-reef,2.4,MIIN,30,22,13,,,,,,,,,,,,,,,,,,,,,,,Symbiodinium tag#256,0,0,0,0,0,,
2014,8,08/22/14,Uva,Uva-reef,2.4,MIIN,23,18,16,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,
2014,8,08/22/14,Uva,Uva-reef,2.4,GAPL,67,55,50,,,10,,,,,,,,,,,,,,,,,,,,,0,0,10,0,0,,
