"Year_F","emmean","SE","df","lower.CL","upper.CL",".group"
"1980",2.08788064307615,0.511918933950383,56,1.06238378983755,3.11337749631476,"  2"
"1983",0.48970712709442,0.419503716556359,56,-0.350659799619295,1.33007405380813," 12"
"1984",0.376840266461103,0.387649543332696,56,-0.399715083385736,1.15339561630794," 1 "
"1985",0.376307206568907,0.383910501318944,56,-0.392757942066501,1.14537235520432," 1 "
"1986",0.403085950649861,0.441874635428098,56,-0.482095311665763,1.28826721296548," 12"
"1987",0.473736225433005,0.441874635428098,56,-0.41144503688262,1.35891748774863," 12"
"1988",0.43654541959068,0.441874635428098,56,-0.448635842724945,1.32172668190631," 12"
"1989",0.398889659109458,0.417106726498767,56,-0.436675519518216,1.23445483773713," 1 "
"1990",0.400562650442962,0.417106726498769,56,-0.435002528184715,1.23612782907064," 1 "
"1992",0.52498089028366,0.441874635428098,56,-0.360200372031964,1.41016215259928," 12"
"1993",0.714101396639586,0.441874635428097,56,-0.171079865676037,1.59928265895521," 12"
"1994",1.06591421505839,0.415326103841348,56,0.233916052242963,1.89791237787382," 12"
"1995",1.34605052439642,0.415326103841347,56,0.514052361580993,2.17804868721184," 12"
"1997",1.19988204544042,0.394231812009655,56,0.410140826957502,1.98962326392334," 12"
"1998",0.633320253849802,0.44145287892126,56,-0.251016128657886,1.51765663635749," 12"
"2000",0.646815765643963,0.415326103841347,56,-0.185182397171463,1.47881392845939," 12"
"2001",0.586814593583065,0.441460165964326,56,-0.297536386626012,1.47116557379214," 12"
"2002",0.686264994045111,0.415326103841348,56,-0.145733168770316,1.51826315686054," 12"
"2003",0.672265834129237,0.415326103841348,56,-0.15973232868619,1.50426399694466," 12"
"2004",0.983647761208947,0.441874635428098,56,0.0984664988933236,1.86882902352457," 12"
"2005",0.693921699074138,0.415326103841347,56,-0.138076463741289,1.52591986188956," 12"
"2006",0.830761108140718,0.441460165964326,56,-0.0535898720683582,1.7151120883498," 12"
"2007",0.673614267191993,0.415326103841348,56,-0.158383895623434,1.50561243000742," 12"
"2010",0.673824319279191,0.415326103841347,56,-0.158173843536236,1.50582248209462," 12"
"2014",0.599552021003687,0.415326103841348,56,-0.232446141811742,1.43155018381912," 12"
"2015",0.655763975757575,0.415326103841348,56,-0.176234187057853,1.487762138573," 12"
"2016",0.327218073031906,0.415326103841348,56,-0.504780089783522,1.15921623584733," 1 "
"2017",0.513584943367035,0.415326103841347,56,-0.318413219448392,1.34558310618246," 12"
"2018",0.436631925690769,0.415326103841348,56,-0.395366237124658,1.2686300885062," 1 "
